15	10	E	-9125446.491815351	200
emissionprobs	2	0	Ctcf	1	0.0023418471452963372
emissionprobs	2	1	H2afz	0	0.9989777354149014
emissionprobs	2	1	H2afz	1	0.0010222645850985078
emissionprobs	2	2	H3k27ac	0	0.9998268223527333
emissionprobs	2	2	H3k27ac	1	1.7317764726652247E-4
emissionprobs	2	3	H3k27me3	0	0.9932865230572302
emissionprobs	2	3	H3k27me3	1	0.006713476942769758
emissionprobs	2	4	H3k36me3	0	0.9999565462191744
emissionprobs	2	4	H3k36me3	1	4.3453780825591656E-5
emissionprobs	2	5	H3k4me1	0	0.9999281977498339
emissionprobs	2	5	H3k4me1	1	7.180225016596824E-5
emissionprobs	2	6	H3k4me2	0	0.9999439173953795
emissionprobs	2	6	H3k4me2	1	5.608260462067021E-5
emissionprobs	2	7	H3k4me3	0	0.9998062206885349
emissionprobs	2	7	H3k4me3	1	1.937793114651048E-4
emissionprobs	2	8	H3k9me3	0	0.9873386888809644
emissionprobs	2	8	H3k9me3	1	0.01266131111903558
emissionprobs	2	9	H4k20me1	0	0.9996387168305292
emissionprobs	2	9	H4k20me1	1	3.612831694709473E-4
emissionprobs	3	0	Ctcf	0	0.9956946140159553
emissionprobs	3	0	Ctcf	1	0.004305385984044685
emissionprobs	3	1	H2afz	0	0.9957696005978329
emissionprobs	3	1	H2afz	1	0.004230399402167056
emissionprobs	3	2	H3k27ac	0	0.9997977569219403
emissionprobs	3	2	H3k27ac	1	2.022430780596277E-4
emissionprobs	3	3	H3k27me3	0	0.8845786295119947
emissionprobs	3	3	H3k27me3	1	0.11542137048800533
emissionprobs	3	4	H3k36me3	0	0.9999289160001772
emissionprobs	3	4	H3k36me3	1	7.108399982287613E-5
emissionprobs	3	5	H3k4me1	0	0.9982970044070787
emissionprobs	3	5	H3k4me1	1	0.0017029955929213747
emissionprobs	3	6	H3k4me2	0	0.9993051797211294
emissionprobs	3	6	H3k4me2	1	6.948202788705129E-4
emissionprobs	3	7	H3k4me3	0	0.9991587495083958
emissionprobs	3	7	H3k4me3	1	8.412504916043119E-4
emissionprobs	3	8	H3k9me3	0	0.9923318685445797
emissionprobs	3	8	H3k9me3	1	0.007668131455420295
emissionprobs	3	9	H4k20me1	0	0.9985498941837663
emissionprobs	3	9	H4k20me1	1	0.0014501058162337554
emissionprobs	4	0	Ctcf	0	0.9957709216944305
emissionprobs	4	0	Ctcf	1	0.004229078305569434
emissionprobs	4	1	H2afz	0	0.9911021771313724
emissionprobs	4	1	H2afz	1	0.008897822868627671
emissionprobs	4	2	H3k27ac	0	0.9985388504978384
emissionprobs	4	2	H3k27ac	1	0.001461149502161514
emissionprobs	4	3	H3k27me3	0	0.9939644691017533
emissionprobs	4	3	H3k27me3	1	0.006035530898246707
emissionprobs	4	4	H3k36me3	0	0.9879759846514515
emissionprobs	4	4	H3k36me3	1	0.01202401534854843
emissionprobs	4	5	H3k4me1	0	0.9930130771009679
emissionprobs	4	5	H3k4me1	1	0.006986922899032268
emissionprobs	4	6	H3k4me2	0	0.9996202141811585
emissionprobs	4	6	H3k4me2	1	3.797858188413757E-4
emissionprobs	4	7	H3k4me3	0	0.9994318982684175
emissionprobs	4	7	H3k4me3	1	5.68101731582415E-4
emissionprobs	4	8	H3k9me3	0	0.9988899738890529
emissionprobs	4	8	H3k9me3	1	0.0011100261109470723
emissionprobs	4	9	H4k20me1	0	0.9953603261201628
emissionprobs	4	9	H4k20me1	1	0.004639673879837212
emissionprobs	5	0	Ctcf	0	0.9875051459323341
emissionprobs	5	0	Ctcf	1	0.012494854067666
emissionprobs	5	1	H2afz	0	0.998888130295631
emissionprobs	5	1	H2afz	1	0.0011118697043690656
emissionprobs	5	2	H3k27ac	0	0.9967206379536848
emissionprobs	5	2	H3k27ac	1	0.0032793620463152074
emissionprobs	5	3	H3k27me3	0	0.9961767655025144
emissionprobs	5	3	H3k27me3	1	0.003823234497485524
emissionprobs	5	4	H3k36me3	0	0.595133377415527
emissionprobs	5	4	H3k36me3	1	0.4048666225844731
emissionprobs	5	5	H3k4me1	0	0.9971893167584938
emissionprobs	5	5	H3k4me1	1	0.0028106832415062946
emissionprobs	5	6	H3k4me2	0	0.9997486834434011
emissionprobs	5	6	H3k4me2	1	2.513165565990532E-4
emissionprobs	5	7	H3k4me3	0	0.9991582346046327
emissionprobs	5	7	H3k4me3	1	8.417653953673348E-4
emissionprobs	5	8	H3k9me3	0	0.997175085295694
emissionprobs	5	8	H3k9me3	1	0.002824914704306112
emissionprobs	5	9	H4k20me1	0	0.9699467099655759
emissionprobs	5	9	H4k20me1	1	0.030053290034424137
emissionprobs	6	0	Ctcf	0	0.949186548981948
emissionprobs	6	0	Ctcf	1	0.05081345101805205
emissionprobs	6	1	H2afz	0	0.992004635713694
emissionprobs	6	1	H2afz	1	0.00799536428630602
emissionprobs	6	2	H3k27ac	0	0.7315385766623337
emissionprobs	6	2	H3k27ac	1	0.2684614233376663
emissionprobs	6	3	H3k27me3	0	0.9950107245079853
emissionprobs	6	3	H3k27me3	1	0.0049892754920146
emissionprobs	6	4	H3k36me3	0	0.5363908218906001
emissionprobs	6	4	H3k36me3	1	0.4636091781094
